Latitude,Longitude,FloodPlain,Mortgage_Date,Mortgage_Maturity,HomeValue,OwnerIncomeToday
37.473215,-122.149191,Yes,2012,30,190136.15797546,31947.0305214723
37.473191,-122.149011,Yes,2014,30,409286.90410943,79211.475567721
37.473167,-122.14884,No,2006,30,680449.21875,141366.769444444
37.473143,-122.148671,No,2019,30,617389.803525817,148867.785157457
37.473119,-122.148496,No,2005,30,662367.588275649,80425.5748207885
37.472911,-122.148675,No,2018,30,583903.0836282,101559.52513769
37.472779,-122.148704,No,2008,30,377565.570382205,67002.7861200262
37.472642,-122.148734,Yes,2018,30,583903.101637653,48489.4365748465
37.472368,-122.148794,No,2017,16,576220.269663838,80663.0995430809
37.472235,-122.148823,No,2012,30,326668.747261006,48208.1918081483
37.4721,-122.148853,No,2006,30,680449.21875,132628.793402777
37.471967,-122.148882,No,2006,30,680449.21875,142817.890407986
37.471836,-122.148911,No,2013,30,347498.840987821,49497.7930691071
37.471702,-122.14894,No,2012,31,326668.750131132,38917.5490213158
37.471556,-122.148953,Yes,2012,30,214667.892571651,29788.0381542699
37.471334,-122.14907,No,2008,30,377565.570382205,46219.060022387
37.471387,-122.149234,Yes,2012,30,325350.668023122,37885.8557208843
37.47144,-122.149399,Yes,2018,30,583903.110642379,124996.670662307
37.471724,-122.149375,Yes,2006,30,680449.21875,173504.134027777
37.471897,-122.149351,No,2007,30,583192.804641606,109252.105506843
37.472027,-122.149322,No,1991,30,282882.135646108,47302.3694566813
37.47216,-122.149293,Yes,2012,30,214668.034950235,31042.1141873278
37.472296,-122.149263,Yes,2012,30,222867.763837795,42371.9472087378
37.472429,-122.149234,No,1998,30,201149.509202454,70044.9138036809
37.472703,-122.149174,Yes,2013,30,326668.751566195,46174.68348476
37.472972,-122.149115,No,1993,30,234403.114186851,40300.4586159169
37.47128,-122.148901,No,2017,20,576220.269663838,62088.0795120757
37.471497,-122.149569,No,2012,30,222853.312549776,42921.1218446602
37.47307,-122.148149,Yes,2017,31,576220.269663838,61317.5749020887
37.473047,-122.147978,No,2017,30,576220.269663838,80663.0995430809
37.473023,-122.14781,No,2012,30,214668.106139527,35748.6316804407
37.473,-122.147643,No,2012,30,179301.232545906,34606.2068859984
